seqid	BAQ1370.1.3	BAQ1552.1.1	BAQ2420.1.1	BAQ2420.1.2	BAQ2420.1.3	BAQ2420.2	BAQ2420.3	BAQ2462.1	BAQ2462.2	BAQ2462.3	BAQ2687.1	BAQ2687.2	BAQ2687.3	BAQ2838.1	BAQ2838.2	BAQ2838.3	BAQ3473.1	BAQ3473.2	BAQ3473.3	BAQ4166.1.1	BAQ4166.1.2	BAQ4166.1.3	BAQ4166.2	BAQ4166.3	BAQ4697.1	BAQ4697.2	BAQ4697.3	BAQ895.2	BAQ895.3	YUN1005.1.1	YUN1005.3	YUN1242.1	YUN1242.2	YUN1242.3	YUN1609.1	YUN2029.1	YUN2029.2	YUN3008.1.3	YUN3008.2	YUN3008.3	YUN3153.1	YUN3153.2	YUN3153.3	YUN3184.1	YUN3184.2	YUN3259.1.1	YUN3259.1.2	YUN3259.1.3	YUN3259.2	YUN3259.3	YUN3346.1	YUN3346.2	YUN3346.3	YUN3428.1	YUN3428.2	YUN3428.3	YUN3533.1.1	YUN3533.1.2	YUN3533.1.3	YUN3533.2	YUN3533.3	YUN3856.1.1	YUN3856.1.2	YUN3856.1.3	YUN3856.2	YUN3856.3
21449492f1325dc7fab32e2109758c15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4ca02e17ff1a389f9bdd9eb488a01563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9279403ab31c9b2574b09cef10f08586	0	0	0	356	541	0	106	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6c498e15165bcab4442f6e99135bcbb7	0	0	0	0	0	0	0	0	0	0	0	0	15	63	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	70	70	42	0	104	50	315	330	0	0	0	0	0
0013c1743927ee19a962b903b8990896	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	144	122	125	97	511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
a56b903521b8ab33a7878b35582803a8	0	0	82	62	0	0	29	40	0	0	0	0	52	44	62	10	31	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	14	0	0	0	41	18	49	91	0	0	16	0	32	61	0	0	0	0	17	0	70	0	123	82
6898520892f36d2f9597b1c708e294f0	0	0	124	70	67	89	0	105	0	16	0	0	0	0	0	0	0	83	0	15	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	74	0	132	76	0	36	63	0	0	0	0
e2b3c5ef478cae4cbabc7577bf139645	0	0	26	38	132	202	152	155	35	295	0	0	7	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8d0ef18ec87e81bbb286975b9b0cb5b6	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	111	200	0	73	176	207	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f2e9c4d09183997ce7cdab5a93686b4c	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	59	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	270	163	0	0	0	0	0	0	61	107	0	0
c471b243ae160f3817bd392932447fce	0	0	0	0	0	46	0	112	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	278	0	0	0	0	76	0	0	89	42	0	0	0	51	43	0	0	0	0	0	0	0	0	0	0
eaafa5ddaa83a001babed4208f4817c6	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	71	46	0	136	158	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	30	35	41	0	65	45	93	86
e81a04a50f341415b6b8dbb1f94c559c	0	0	0	45	0	0	0	0	0	0	0	0	0	33	0	0	71	37	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	41	89	64	0	0	0	0	107	19	72	199	0	45
cdb9c0ee3bba4c3d8b9292eb575bd9e3	0	0	50	15	0	21	0	0	0	26	0	0	0	11	12	0	0	36	0	0	20	0	28	11	14	12	0	0	0	0	15	0	0	0	20	0	13	0	0	0	0	11	25	0	0	3	20	0	48	0	0	0	15	20	57	21	21	32	29	32	63	23	44	0	29	86
dbaaec51eeca49cb19d683ec4ed2ea7a	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	146	142	45	69	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	104	85	0	0	0	0	0	0
b57bc5dcf6016bb5817cc2a545dcaad8	0	0	0	0	8	0	34	50	0	0	29	0	132	0	0	0	53	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	26	0	0	97	0	87	0	0	0	0	0	74	60	86
e2eea174f42cec1730a29e85e032fd98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fad7959733a200344fe5a2a9f6252f81	0	0	54	0	0	0	0	16	128	16	0	0	0	45	0	0	192	168	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
29b4b85879d0c908835a2c655cd82b76	0	0	0	128	52	0	24	83	22	0	0	0	41	53	59	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	31	0	0	0	0	0	0	0	0	0	0	0	53	51	19	23
5ad30b3820e60e8bd5048ab0a31ad4be	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4c8ff0ea98d2c0ebb486e33bd96c61f9	0	0	0	0	22	0	0	0	0	0	28	0	0	0	0	0	46	15	164	22	30	0	11	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	7	0	0	0	14	97	0	0	31	10	26	37	0	10	10	60	87
14440ff99dac4bafa3c3a275dde92935	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e1b9495f82b05c4ee6c846006f5f29b4	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	0	0	104	0	0	45	0	73	0	0	0	0	0	0	0	0	0	0	0
c58d52926eceee08f400001aaf5dabb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	425	0	0	0	0	0	66	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
