Feature ID	Taxon	Confidence
f3bc3416da78c1db085958da7b85d646	D_0__Bacteria;D_1__Gemmatimonadetes;D_2__S0134 terrestrial group	0.7649394777108166
5b883f2f692ce1ec68a14ca8251a5b30	D_0__Bacteria;D_1__Chloroflexi;D_2__JG30-KF-CM66	0.9493381107585148
067ab12d31f14ed41a7d9b92d63f44e6	D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia	0.9724562918434394
e2dbf244ff6dfaaf304a9e9be199e293	D_0__Bacteria;D_1__Entotheonellaeota;D_2__Entotheonellia;D_3__Entotheonellales;D_4__Entotheonellaceae;D_5__Candidatus Entotheonella;D_6__uncultured bacterium	0.9679860060189875
1237d5925a7176fced9dda961a86c684	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Nitrosococcales;D_4__Nitrosococcaceae;D_5__Nitrosococcus;D_6__uncultured bacterium	0.816981919879131
b5ef687da0441455067afbf8a03dfeb7	D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Anaerolineales;D_4__Anaerolineaceae;D_5__uncultured	0.8116012316142017
3e475f8d3b6439479b2e0fc31a60473b	D_0__Bacteria;D_1__Chloroflexi;D_2__TK10;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.9404470756780713
ca3c45ee269336c5a51797185dbea50d	D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae;D_3__Subgroup 7	0.99959596207487
cbded679c842e8e9c7a43e4523a6bc08	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae	0.9999025951819904
4d07198ba608cee3eb3f303d556657c7	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Nitrosomonadaceae;D_5__MND1	0.9998977580822402
79fceab4210680594e1d67908b3f916d	D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrososphaerales;D_4__Nitrososphaeraceae	0.9999690122003201
22de57121f8ed61faa64cd438faa1b4e	D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108;D_3__uncultured actinobacterium;D_4__uncultured actinobacterium;D_5__uncultured actinobacterium;D_6__uncultured actinobacterium	0.826793145078811
ae8b35621177d18783a4cff7c43a9d08	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae;D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.8095797698220296
3d20664f39cc6d7f1893adb88e86d304	D_0__Bacteria;D_1__Chloroflexi;D_2__TK10;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.7334910649471664
2f56b45079173966551ddffe43501d5d	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptosporangiales;D_4__Thermomonosporaceae;D_5__Actinoallomurus;D_6__metagenome	0.8355452215897305
e1729aff823a341f1b82454f859f6444	D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae;D_3__Subgroup 7	0.9991019400919969
36d3b99cbc044e1531dc21fb94159f72	D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrososphaerales;D_4__Nitrososphaeraceae;D_5__unidentified archaeon;D_6__unidentified archaeon	0.7653216257689391
c29dac9d2eee4f753e9fb45f2fcc6965	D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia;D_3__Thermoanaerobaculales;D_4__Thermoanaerobaculaceae;D_5__Subgroup 10	0.9846190914932357
5782d35f261658ad302481bd1a185586	D_0__Bacteria;D_1__Chloroflexi;D_2__TK10	0.9932955041086989
c291effdc942336b234b5e176706e999	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micromonosporales;D_4__Micromonosporaceae	0.9882560762474639
fb35e2c51be394171bd0674c3754b1df	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__uncultured	0.8438895298100514
640d007a1ab3f175de8f5e544c0e0f69	D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales;D_4__67-14;D_5__uncultured actinobacterium;D_6__uncultured actinobacterium	0.814597513157369
