sample	seqname	count
P13625_1080_S80	seq_000000188	272
P13625_1079_S79	seq_000000189	40
P13625_1080_S80	seq_000000189	47
P13625_1077_S77	seq_000000190	25
P13625_1078_S78	seq_000000190	27
P13625_1077_S77	seq_000000191	223
P13625_1078_S78	seq_000000191	189
P13625_1079_S79	seq_000000191	111
P13625_1080_S80	seq_000000191	110
P13625_1079_S79	seq_000000192	135
P13625_1080_S80	seq_000000192	111
P13625_1075_S75	seq_000000193	12
P13625_1077_S77	seq_000000193	202
P13625_1078_S78	seq_000000193	188
P13625_1079_S79	seq_000000193	548
P13625_1080_S80	seq_000000193	483
P13625_1077_S77	seq_000000194	37
P13625_1078_S78	seq_000000194	33
P13625_1079_S79	seq_000000194	25
P13625_1079_S79	seq_000000195	2
P13625_1079_S79	seq_000000196	1
P13625_1077_S77	seq_000000197	1
P13625_1077_S77	seq_000000198	31
P13625_1078_S78	seq_000000198	42
P13625_1077_S77	seq_000000199	1
P13625_1080_S80	seq_000000200	6
P13625_1079_S79	seq_000000201	1
P13625_1078_S78	seq_000000202	1
P13625_1079_S79	seq_000000203	1
P13625_1079_S79	seq_000000204	1
P13625_1079_S79	seq_000000205	1
P13625_1079_S79	seq_000000206	1
P13625_1079_S79	seq_000000207	1
P13625_1079_S79	seq_000000208	1
P13625_1079_S79	seq_000000209	1
P13625_1079_S79	seq_000000210	2
P13625_1077_S77	seq_000000211	1
P13625_1080_S80	seq_000000212	1
P13625_1079_S79	seq_000000213	2
P13625_1077_S77	seq_000000214	1
P13625_1080_S80	seq_000000215	1
P13625_1080_S80	seq_000000216	3
P13625_1079_S79	seq_000000217	1
P13625_1079_S79	seq_000000218	1
P13625_1079_S79	seq_000000219	1
P13625_1080_S80	seq_000000220	1
P13625_1080_S80	seq_000000221	2
P13625_1075_S75	seq_000000222	122
P13625_1076_S76	seq_000000222	25
P13625_1077_S77	seq_000000222	3092
P13625_1078_S78	seq_000000222	3987
P13625_1079_S79	seq_000000222	6799
P13625_1080_S80	seq_000000222	4968
P13625_1079_S79	seq_000000223	1
P13625_1079_S79	seq_000000224	3
P13625_1079_S79	seq_000000225	1
P13625_1079_S79	seq_000000226	1
P13625_1079_S79	seq_000000227	3
P13625_1079_S79	seq_000000228	1
P13625_1080_S80	seq_000000229	1
P13625_1075_S75	seq_000000230	34
P13625_1076_S76	seq_000000230	11
P13625_1079_S79	seq_000000230	3326
P13625_1080_S80	seq_000000230	2117
P13625_1079_S79	seq_000000231	1
P13625_1079_S79	seq_000000232	1
P13625_1079_S79	seq_000000233	1
P13625_1079_S79	seq_000000234	3
P13625_1079_S79	seq_000000235	1
P13625_1079_S79	seq_000000236	1
P13625_1079_S79	seq_000000237	1
P13625_1079_S79	seq_000000238	2
P13625_1079_S79	seq_000000239	1
P13625_1075_S75	seq_000000240	909
P13625_1075_S75	seq_000000241	809
P13625_1077_S77	seq_000000242	3
P13625_1076_S76	seq_000000243	13
P13625_1075_S75	seq_000000244	23
P13625_1076_S76	seq_000000244	41
P13625_1078_S78	seq_000000244	10
P13625_1080_S80	seq_000000245	21
P13625_1077_S77	seq_000000246	13
P13625_1075_S75	seq_000000247	16
P13625_1077_S77	seq_000000247	20
P13625_1078_S78	seq_000000247	2
P13625_1079_S79	seq_000000247	16
P13625_1080_S80	seq_000000247	5
P13625_1077_S77	seq_000000248	1
P13625_1077_S77	seq_000000249	1
P13625_1077_S77	seq_000000250	2
P13625_1077_S77	seq_000000251	1
P13625_1079_S79	seq_000000252	1
P13625_1078_S78	seq_000000253	1
P13625_1079_S79	seq_000000254	1
P13625_1078_S78	seq_000000255	1
P13625_1077_S77	seq_000000256	1
P13625_1077_S77	seq_000000257	1
P13625_1080_S80	seq_000000258	1
P13625_1080_S80	seq_000000259	2
P13625_1078_S78	seq_000000260	4
P13625_1079_S79	seq_000000261	1
P13625_1079_S79	seq_000000262	1
P13625_1080_S80	seq_000000263	3
P13625_1080_S80	seq_000000264	1
P13625_1077_S77	seq_000000265	1
P13625_1078_S78	seq_000000266	1
P13625_1078_S78	seq_000000267	1
P13625_1078_S78	seq_000000268	1
P13625_1078_S78	seq_000000269	1
P13625_1078_S78	seq_000000270	1
P13625_1077_S77	seq_000000271	1
P13625_1078_S78	seq_000000272	1
P13625_1078_S78	seq_000000273	2
P13625_1078_S78	seq_000000274	1
P13625_1075_S75	seq_000000275	417
P13625_1076_S76	seq_000000275	27
P13625_1077_S77	seq_000000275	31606
P13625_1078_S78	seq_000000275	20065
P13625_1079_S79	seq_000000275	6268
P13625_1080_S80	seq_000000275	4148
P13625_1077_S77	seq_000000276	1
